# sw_down lw_down tot_rain tot_snow t wind pstar q
0.0000e+00 3.0853e+02 1.0664e-05 1.0179e-05 2.7091e+02 1.5383e+00 9.7292e+04 3.0169e-03
0.0000e+00 3.0725e+02 0.0000e+00 9.0978e-06 2.7074e+02 1.7079e+00 9.7202e+04 2.9975e-03
2.0657e+01 3.0782e+02 0.0000e+00 0.0000e+00 2.7097e+02 2.8024e+00 9.7183e+04 2.9445e-03
1.4764e+02 2.9928e+02 0.0000e+00 0.0000e+00 2.7202e+02 3.7135e+00 9.6986e+04 2.8212e-03
9.7816e+01 2.9985e+02 0.0000e+00 0.0000e+00 2.7224e+02 3.1331e+00 9.6949e+04 2.8230e-03
8.4897e-01 2.9993e+02 0.0000e+00 1.1364e-05 2.7098e+02 2.6911e+00 9.7070e+04 2.8269e-03
0.0000e+00 2.8368e+02 0.0000e+00 0.0000e+00 2.7038e+02 3.3603e+00 9.7181e+04 2.7638e-03
0.0000e+00 2.9208e+02 0.0000e+00 9.4874e-06 2.7021e+02 4.2428e+00 9.7191e+04 2.8282e-03
0.0000e+00 3.0126e+02 1.4978e-05 2.6368e-05 2.7011e+02 5.5528e+00 9.7382e+04 2.7112e-03
0.0000e+00 3.0691e+02 2.2812e-05 4.3068e-05 2.7089e+02 5.6233e+00 9.7459e+04 2.9900e-03
1.4366e+01 3.1029e+02 1.8370e-05 3.3048e-05 2.7170e+02 4.5802e+00 9.7639e+04 3.0768e-03
1.4414e+02 2.8786e+02 1.0663e-05 2.0701e-05 2.7239e+02 5.1108e+00 9.7626e+04 3.0031e-03
1.0838e+02 2.7615e+02 0.0000e+00 0.0000e+00 2.7222e+02 3.3899e+00 9.7783e+04 2.7958e-03
1.0004e+00 2.7817e+02 0.0000e+00 1.3687e-05 2.7086e+02 2.8219e+00 9.7799e+04 2.7582e-03
0.0000e+00 2.8836e+02 0.0000e+00 1.1674e-05 2.7065e+02 2.5475e+00 9.7828e+04 2.8469e-03
0.0000e+00 3.0458e+02 1.1043e-05 1.9466e-05 2.7062e+02 2.7122e+00 9.7786e+04 2.9051e-03
0.0000e+00 3.0357e+02 9.9343e-06 1.4796e-05 2.6992e+02 2.4866e+00 9.7778e+04 2.7007e-03
0.0000e+00 3.0598e+02 0.0000e+00 9.4995e-06 2.7027e+02 2.2547e+00 9.7703e+04 2.8088e-03
2.7324e+01 3.0059e+02 0.0000e+00 0.0000e+00 2.7096e+02 2.6545e+00 9.7737e+04 2.8677e-03
2.4225e+02 2.6382e+02 9.7308e-06 1.1393e-05 2.7300e+02 3.5212e+00 9.7541e+04 2.8579e-03
1.8840e+02 2.5360e+02 0.0000e+00 0.0000e+00 2.7394e+02 2.0652e+00 9.7371e+04 3.0762e-03
4.2667e+00 2.3643e+02 0.0000e+00 0.0000e+00 2.7125e+02 2.6385e+00 9.7252e+04 2.6193e-03
0.0000e+00 2.5770e+02 0.0000e+00 1.9459e-05 2.6990e+02 3.2039e+00 9.7097e+04 2.5308e-03
0.0000e+00 2.8789e+02 2.7446e-05 9.5985e-05 2.7076e+02 3.5074e+00 9.6880e+04 2.8813e-03
0.0000e+00 3.1461e+02 4.9425e-05 1.0866e-04 2.7301e+02 4.7389e+00 9.6821e+04 3.6945e-03
0.0000e+00 3.1921e+02 4.5000e-05 5.0498e-05 2.7279e+02 5.0715e+00 9.6871e+04 3.6848e-03
1.3720e+01 3.1426e+02 2.5662e-05 3.4817e-05 2.7265e+02 4.6562e+00 9.6970e+04 3.6459e-03
1.2152e+02 3.0340e+02 2.6862e-05 5.1622e-05 2.7322e+02 5.9460e+00 9.6959e+04 3.5643e-03
1.0998e+02 2.8142e+02 1.8778e-05 2.5837e-05 2.7253e+02 5.0084e+00 9.7030e+04 3.3717e-03
1.4493e+00 2.8660e+02 1.4665e-05 3.9188e-05 2.7197e+02 3.7716e+00 9.7079e+04 3.3982e-03
0.0000e+00 2.9737e+02 1.8169e-05 3.7472e-05 2.7217e+02 3.1575e+00 9.7118e+04 3.4795e-03
